PRODUCT_CODE,WEEK_START,QTY,CUSTOMER,DEMAND_TYPE
PROD001,2026-04-07,95,Great Lakes Utility,MTO
PROD001,2026-04-14,102,Great Lakes Utility,MTO
PROD001,2026-04-21,118,Great Lakes Utility,MTO
PROD001,2026-04-28,110,Midwest Grid Co,MTS
PROD001,2026-05-05,125,Great Lakes Utility,MTO
PROD001,2026-05-12,130,Great Lakes Utility,MTO
PROD001,2026-05-19,115,Midwest Grid Co,MTS
PROD001,2026-05-26,140,Great Lakes Utility,MTO
PROD002,2026-04-07,48,Midwest Grid Co,MTS
PROD002,2026-04-14,52,Midwest Grid Co,MTS
PROD002,2026-04-21,55,Regional Power Authority,ETO
PROD002,2026-04-28,60,Midwest Grid Co,MTS
PROD002,2026-05-05,58,Regional Power Authority,ETO
PROD004,2026-04-07,22,Regional Power Authority,ETO
PROD004,2026-04-14,25,Regional Power Authority,ETO
PROD004,2026-04-21,28,Great Lakes Utility,MTO
